,probe_g,
211636_at,IGHM,immunoglobulin heavy constant mu
211636_at,IGHV4-39,immunoglobulin heavy variable 4-39
211636_at,IGHV4-31,immunoglobulin heavy variable 4-31
211636_at,LOC102723407,immunoglobulin heavy variable 4-38-2-like
211637_x_at,NA,NA
211638_at,NA,NA
211639_x_at,SKAP2,src kinase associated phosphoprotein 2
211640_x_at,IGHV1-69,immunoglobulin heavy variable 1-69
211641_x_at,NA,NA
211642_at,IGHV3-73,immunoglobulin heavy variable 3-73
211643_x_at,IGKC,immunoglobulin kappa constant
211644_x_at,IGKC,immunoglobulin kappa constant
211645_x_at,IGKV1-17,immunoglobulin kappa variable 1-17
211646_at,NA,NA
211647_x_at,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
211648_at,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
211649_x_at,NA,NA
211650_x_at,IGK,immunoglobulin kappa locus
211651_s_at,LAMB1,laminin subunit beta 1
211652_s_at,LBP,lipopolysaccharide binding protein
211653_x_at,AKR1C2,aldo-keto reductase family 1 member C2
211654_x_at,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
211655_at,IGLC1,immunoglobulin lambda constant 1
211656_x_at,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
211657_at,CEACAM6,CEA cell adhesion molecule 6
211658_at,PRDX2,peroxiredoxin 2
211659_at,GPR135,G protein-coupled receptor 135
211660_at,POU2F2,POU class 2 homeobox 2
211661_x_at,PTAFR,platelet activating factor receptor
211662_s_at,VDAC2,voltage dependent anion channel 2
211663_x_at,PTGDS,prostaglandin D2 synthase
211665_s_at,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2
211666_x_at,RPL3,ribosomal protein L3
211667_x_at,TRAV12-2,T cell receptor alpha variable 12-2
211668_s_at,PLAU,"plasminogen activator, urokinase"
211670_x_at,SSX3,SSX family member 3
211671_s_at,NR3C1,nuclear receptor subfamily 3 group C member 1
211672_s_at,ARPC4,actin related protein 2/3 complex subunit 4
211672_s_at,ARPC4-TTLL3,ARPC4-TTLL3 readthrough
211673_s_at,MOCS1,molybdenum cofactor synthesis 1
211674_x_at,CTAG1B,cancer/testis antigen 1B
211674_x_at,CTAG1A,cancer/testis antigen 1A
211675_s_at,MDFIC,MyoD family inhibitor domain containing
211676_s_at,IFNGR1,interferon gamma receptor 1
211677_x_at,CADM3,cell adhesion molecule 3
211678_s_at,RNF114,ring finger protein 114
211679_x_at,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
211680_at,PDLIM5,PDZ and LIM domain 5
211681_s_at,PDLIM5,PDZ and LIM domain 5
211682_x_at,UGT2B28,UDP glucuronosyltransferase family 2 member B28
211684_s_at,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2
211685_s_at,NCALD,neurocalcin delta
211686_s_at,MAK16,MAK16 homolog
211687_x_at,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
211688_x_at,KIR3DL2,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"
211688_x_at,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
211689_s_at,TMPRSS2,transmembrane serine protease 2
211690_at,RPS6,ribosomal protein S6
211691_x_at,NA,NA
211692_s_at,BBC3,BCL2 binding component 3
211693_at,IGH,immunoglobulin heavy locus
211694_at,TSSK1B,testis specific serine kinase 1B
211695_x_at,MUC1,"mucin 1, cell surface associated"
211696_x_at,HBB,hemoglobin subunit beta
211697_x_at,PNO1,partner of NOB1 homolog
211698_at,EID1,EP300 interacting inhibitor of differentiation 1
211699_x_at,HBA1,hemoglobin subunit alpha 1
211699_x_at,HBA2,hemoglobin subunit alpha 2
211700_s_at,TRO,trophinin
211701_s_at,TRO,trophinin
211702_s_at,USP32,ubiquitin specific peptidase 32
211703_s_at,TM2D1,TM2 domain containing 1
211704_s_at,SPIN2B,spindlin family member 2B
211704_s_at,SPIN2A,spindlin family member 2A
211705_s_at,SORBS1,sorbin and SH3 domain containing 1
211706_s_at,CDK19,cyclin dependent kinase 19
211707_s_at,IQCB1,IQ motif containing B1
211708_s_at,SCD,stearoyl-CoA desaturase
211709_s_at,CLEC11A,C-type lectin domain containing 11A
211710_x_at,RPL4,ribosomal protein L4
211711_s_at,PTEN,phosphatase and tensin homolog
211712_s_at,ANXA9,annexin A9
211713_x_at,PCLAF,PCNA clamp associated factor
211714_x_at,TUBB,tubulin beta class I
211715_s_at,BDH1,3-hydroxybutyrate dehydrogenase 1
211716_x_at,ARHGDIA,Rho GDP dissociation inhibitor alpha
211717_at,ANKRD40,ankyrin repeat domain 40
211718_at,MGC2889,uncharacterized protein MGC2889
211719_x_at,FN1,fibronectin 1
211720_x_at,RPLP0,ribosomal protein lateral stalk subunit P0
211721_s_at,ZNF551,zinc finger protein 551
211722_s_at,HDAC6,histone deacetylase 6
211724_x_at,MIOS,meiosis regulator for oocyte development
211725_s_at,BID,BH3 interacting domain death agonist
211726_s_at,FMO2,flavin containing dimethylaniline monoxygenase 2
211727_s_at,COX11,cytochrome c oxidase copper chaperone COX11
211728_s_at,HYAL3,hyaluronidase 3
211729_x_at,BLVRA,biliverdin reductase A
211730_s_at,POLR2L,"RNA polymerase II, I and III subunit L"
211731_x_at,SSX3,SSX family member 3
211732_x_at,HNMT,histamine N-methyltransferase
211733_x_at,SCP2,sterol carrier protein 2
211734_s_at,FCER1A,Fc fragment of IgE receptor Ia
211735_x_at,SFTPC,surfactant protein C
211736_at,SP2,Sp2 transcription factor
211737_x_at,PTN,pleiotrophin
211738_x_at,CELA3A,chymotrypsin like elastase 3A
211739_x_at,CSH1,chorionic somatomammotropin hormone 1
211739_x_at,CSH2,chorionic somatomammotropin hormone 2
211739_x_at,CSHL1,chorionic somatomammotropin hormone like 1
211740_at,ICA1,islet cell autoantigen 1
211741_x_at,PSG3,pregnancy specific beta-1-glycoprotein 3
211742_s_at,EVI2B,ecotropic viral integration site 2B
211743_s_at,PRG2,"proteoglycan 2, pro eosinophil major basic protein"
211744_s_at,CD58,CD58 molecule
211745_x_at,HBA1,hemoglobin subunit alpha 1
211745_x_at,HBA2,hemoglobin subunit alpha 2
211746_x_at,PSMA1,proteasome 20S subunit alpha 1
211747_s_at,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
211748_x_at,PTGDS,prostaglandin D2 synthase
211749_s_at,VAMP3,vesicle associated membrane protein 3
211750_x_at,TUBA1C,tubulin alpha 1c
211751_at,PDE4DIP,phosphodiesterase 4D interacting protein
211751_at,LOC653513,phosphodiesterase 4D interacting protein-like
211751_at,PDE4DIPP2,PDE4DIP pseudogene 2
211752_s_at,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7
211753_s_at,RLN1,relaxin 1
211754_s_at,SLC25A17,solute carrier family 25 member 17
211755_s_at,ATP5PB,ATP synthase peripheral stalk-membrane subunit b
211756_at,PTHLH,parathyroid hormone like hormone
211758_x_at,TXNDC9,thioredoxin domain containing 9
211759_x_at,TBCB,tubulin folding cofactor B
211760_s_at,VAMP4,vesicle associated membrane protein 4
211761_s_at,CACYBP,calcyclin binding protein
211762_s_at,KPNA2,karyopherin subunit alpha 2
211763_s_at,UBE2B,ubiquitin conjugating enzyme E2 B
211764_s_at,UBE2D1,ubiquitin conjugating enzyme E2 D1
211765_x_at,PPIA,peptidylprolyl isomerase A
211766_s_at,PNLIPRP2,pancreatic lipase related protein 2 (gene/pseudogene)
211767_at,GINS4,GINS complex subunit 4
211768_at,LAT2,linker for activation of T cells family member 2
211769_x_at,SERINC3,serine incorporator 3
211771_s_at,POU2F2,POU class 2 homeobox 2
211772_x_at,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit
211773_s_at,ZKSCAN3,zinc finger with KRAB and SCAN domains 3
211774_s_at,MMACHC,metabolism of cobalamin associated C
211775_x_at,NA,NA
211776_s_at,EPB41L3,erythrocyte membrane protein band 4.1 like 3
211778_s_at,OVOL2,ovo like zinc finger 2
211779_x_at,AP2A2,adaptor related protein complex 2 subunit alpha 2
211780_x_at,DCTN1,dynactin subunit 1
211781_x_at,NA,NA
211782_at,IDS,iduronate 2-sulfatase
211783_s_at,MTA1,metastasis associated 1
211784_s_at,SRSF1,serine and arginine rich splicing factor 1
211786_at,TNFRSF9,TNF receptor superfamily member 9
211787_s_at,EIF4A1,eukaryotic translation initiation factor 4A1
211787_s_at,SENP3-EIF4A1,SENP3-EIF4A1 readthrough (NMD candidate)
211788_s_at,TREX2,three prime repair exonuclease 2
211789_s_at,MLXIP,MLX interacting protein
211790_s_at,KMT2D,lysine methyltransferase 2D
211791_s_at,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
211792_s_at,CDKN2C,cyclin dependent kinase inhibitor 2C
211793_s_at,ABI2,abl interactor 2
211794_at,FYB1,FYN binding protein 1
211795_s_at,FYB1,FYN binding protein 1
211796_s_at,TRBV19,T cell receptor beta variable 19
211796_s_at,TRBV7-2,T cell receptor beta variable 7-2
211796_s_at,TRBV6-5,T cell receptor beta variable 6-5
211796_s_at,TRBV5-4,T cell receptor beta variable 5-4
211796_s_at,TRBV3-1,T cell receptor beta variable 3-1
211796_s_at,TRBC2,T cell receptor beta constant 2
211796_s_at,TRBC1,T cell receptor beta constant 1
211797_s_at,NFYC,nuclear transcription factor Y subunit gamma
211798_x_at,IGLJ3,immunoglobulin lambda joining 3
211799_x_at,HLA-C,"major histocompatibility complex, class I, C"
211800_s_at,USP4,ubiquitin specific peptidase 4
211801_x_at,MFN1,mitofusin 1
211802_x_at,CACNA1G,calcium voltage-gated channel subunit alpha1 G
211803_at,CDK2,cyclin dependent kinase 2
211804_s_at,CDK2,cyclin dependent kinase 2
211805_s_at,SLC8A1,solute carrier family 8 member A1
211806_s_at,KCNJ15,potassium inwardly rectifying channel subfamily J member 15
211807_x_at,PCDHGB5,"protocadherin gamma subfamily B, 5"
211808_s_at,CREBBP,CREB binding protein
211809_x_at,COL13A1,collagen type XIII alpha 1 chain
211810_s_at,GALC,galactosylceramidase
211811_s_at,PCDHA6,protocadherin alpha 6
211812_s_at,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
211813_x_at,DCN,decorin
211814_s_at,CCNE2,cyclin E2
211815_s_at,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
211816_x_at,FCAR,Fc fragment of IgA receptor
211817_s_at,KCNJ5,potassium inwardly rectifying channel subfamily J member 5
211818_s_at,PDE4C,phosphodiesterase 4C
211818_s_at,LOC729966,uncharacterized LOC729966
211819_s_at,SORBS1,sorbin and SH3 domain containing 1
211820_x_at,GYPA,glycophorin A (MNS blood group)
211821_x_at,GYPA,glycophorin A (MNS blood group)
211822_s_at,NLRP1,NLR family pyrin domain containing 1
211823_s_at,PXN,paxillin
211824_x_at,NLRP1,NLR family pyrin domain containing 1
211825_s_at,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
211826_s_at,AFF1,AF4/FMR2 family member 1
211827_s_at,KCND3,potassium voltage-gated channel subfamily D member 3
211828_s_at,TNIK,TRAF2 and NCK interacting kinase
211829_s_at,GPER1,G protein-coupled estrogen receptor 1
211830_s_at,CACNA1I,calcium voltage-gated channel subunit alpha1 I
211831_s_at,THPO,thrombopoietin
211832_s_at,MDM2,MDM2 proto-oncogene
211833_s_at,BAX,"BCL2 associated X, apoptosis regulator"
211834_s_at,TP63,tumor protein p63
211835_at,IGKV1-5,immunoglobulin kappa variable 1-5
211836_s_at,MOG,myelin oligodendrocyte glycoprotein
211837_s_at,PTCRA,pre T cell antigen receptor alpha
211838_x_at,PCDHA5,protocadherin alpha 5
211839_s_at,CSF1,colony stimulating factor 1
211840_s_at,PDE4D,phosphodiesterase 4D
211841_s_at,TNFRSF25,TNF receptor superfamily member 25
211842_s_at,SLC24A1,solute carrier family 24 member 1
211843_x_at,CYP3A7-CYP3A51P,CYP3A7-CYP3A51P readthrough
211844_s_at,NRP2,neuropilin 2
211845_at,NECTIN1,nectin cell adhesion molecule 1
211846_s_at,NECTIN1,nectin cell adhesion molecule 1
211848_s_at,CEACAM7,CEA cell adhesion molecule 7
211849_s_at,RNGTT,RNA guanylyltransferase and 5'-phosphatase
211851_x_at,BRCA1,BRCA1 DNA repair associated
211852_s_at,ATRN,attractin
211855_s_at,SLC25A14,solute carrier family 25 member 14
211856_x_at,CD28,CD28 molecule
211858_x_at,GNAS,GNAS complex locus
211861_x_at,CD28,CD28 molecule
211862_x_at,CFLAR,CASP8 and FADD like apoptosis regulator
211863_x_at,HFE,homeostatic iron regulator
211864_s_at,MYOF,myoferlin
211865_s_at,FZR1,fizzy and cell division cycle 20 related 1
211866_x_at,HFE,homeostatic iron regulator
211867_s_at,PCDHA10,protocadherin alpha 10
211868_x_at,IGH,immunoglobulin heavy locus
211868_x_at,IGHA1,immunoglobulin heavy constant alpha 1
211868_x_at,IGHA2,immunoglobulin heavy constant alpha 2 (A2m marker)
211868_x_at,IGHD,immunoglobulin heavy constant delta
211868_x_at,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
211868_x_at,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker)
211868_x_at,IGHG3,immunoglobulin heavy constant gamma 3 (G3m marker)
211868_x_at,IGHM,immunoglobulin heavy constant mu
211868_x_at,IGHV4-31,immunoglobulin heavy variable 4-31
211868_x_at,IGHV3-71,immunoglobulin heavy variable 3-71 (pseudogene)
211868_x_at,IGHV3-48,immunoglobulin heavy variable 3-48
211868_x_at,IGHV3-21,immunoglobulin heavy variable 3-21
211868_x_at,IGHJ5,immunoglobulin heavy joining 5
211869_at,NA,NA
211870_s_at,PCDHA3,protocadherin alpha 3
211871_x_at,GNB5,G protein subunit beta 5
211872_s_at,RGS11,regulator of G protein signaling 11
211873_s_at,PCDHGA9,"protocadherin gamma subfamily A, 9"
211874_s_at,KAT6B,lysine acetyltransferase 6B
211875_x_at,PCDHGA10,"protocadherin gamma subfamily A, 10"
211876_x_at,PCDHGA11,"protocadherin gamma subfamily A, 11"
211877_s_at,PCDHGA11,"protocadherin gamma subfamily A, 11"
211878_at,NA,NA
211879_x_at,PCDHGA3,"protocadherin gamma subfamily A, 3"
211880_x_at,PCDHGA1,"protocadherin gamma subfamily A, 1"
211881_x_at,IGLJ3,immunoglobulin lambda joining 3
211882_x_at,FUT6,fucosyltransferase 6
211883_x_at,CEACAM1,CEA cell adhesion molecule 1
211884_s_at,CIITA,class II major histocompatibility complex transactivator
211885_x_at,FUT6,fucosyltransferase 6
211886_s_at,TBX5,T-box transcription factor 5
211887_x_at,MSR1,macrophage scavenger receptor 1
211888_x_at,CASP10,caspase 10
211889_x_at,CEACAM1,CEA cell adhesion molecule 1
211890_x_at,CAPN3,calpain 3
211891_s_at,ARHGEF4,Rho guanine nucleotide exchange factor 4
211892_s_at,PTGIS,prostaglandin I2 synthase
211893_x_at,CD6,CD6 molecule
211894_x_at,SEZ6L,seizure related 6 homolog like
211896_s_at,DCN,decorin
211897_s_at,CRHR1,corticotropin releasing hormone receptor 1
211897_s_at,LINC02210-CRHR1,LINC02210-CRHR1 readthrough
211898_s_at,EPHB1,EPH receptor B1
211899_s_at,TRAF4,TNF receptor associated factor 4
211900_x_at,CD6,CD6 molecule
211901_s_at,PDE4A,phosphodiesterase 4A
211902_x_at,YME1L1,YME1 like 1 ATPase
211903_s_at,MPL,"MPL proto-oncogene, thrombopoietin receptor"
211904_x_at,RAD52,"RAD52 homolog, DNA repair protein"
211905_s_at,ITGB4,integrin subunit beta 4
211906_s_at,SERPINB4,serpin family B member 4
211907_s_at,PARD6B,par-6 family cell polarity regulator beta
211908_x_at,IGK,immunoglobulin kappa locus
211909_x_at,PTGER3,prostaglandin E receptor 3
211910_at,NA,NA
211911_x_at,HLA-B,"major histocompatibility complex, class I, B"
211912_at,MERTK,"MER proto-oncogene, tyrosine kinase"
211913_s_at,MERTK,"MER proto-oncogene, tyrosine kinase"
211914_x_at,NF1,neurofibromin 1
211915_s_at,TUBB7P,tubulin beta 7 pseudogene
211916_s_at,MYO1A,myosin IA
211917_s_at,PRLR,prolactin receptor
211918_x_at,PAPPA2,pappalysin 2
211919_s_at,CXCR4,C-X-C motif chemokine receptor 4
211920_at,CFB,complement factor B
211921_x_at,PTMA,prothymosin alpha
211922_s_at,CAT,catalase
211923_s_at,ZNF471,zinc finger protein 471
211924_s_at,PLAUR,"plasminogen activator, urokinase receptor"
211925_s_at,PLCB1,phospholipase C beta 1
211926_s_at,MYH9,myosin heavy chain 9
211927_x_at,EEF1G,eukaryotic translation elongation factor 1 gamma
211928_at,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
211929_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
211930_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
211931_s_at,HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
211931_s_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
211932_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
211933_s_at,HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
211933_s_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
211934_x_at,GANAB,glucosidase II alpha subunit
211935_at,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
211936_at,HSPA5,heat shock protein family A (Hsp70) member 5
211937_at,EIF4B,eukaryotic translation initiation factor 4B
211938_at,EIF4B,eukaryotic translation initiation factor 4B
211939_x_at,BTF3,basic transcription factor 3
211940_x_at,H3-3A,H3.3 histone A
211940_x_at,H3P6,H3 histone pseudogene 6
211941_s_at,PEBP1,phosphatidylethanolamine binding protein 1
211942_x_at,RPL13A,ribosomal protein L13a
211942_x_at,RPL13AP6,ribosomal protein L13a pseudogene 6
211942_x_at,RPL13AP5,ribosomal protein L13a pseudogene 5
211943_x_at,TPT1,"tumor protein, translationally-controlled 1"
211944_at,PRRC2C,proline rich coiled-coil 2C
211945_s_at,ITGB1,integrin subunit beta 1
211946_s_at,PRRC2C,proline rich coiled-coil 2C
211947_s_at,PRRC2C,proline rich coiled-coil 2C
211948_x_at,PRRC2C,proline rich coiled-coil 2C
211949_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1
211950_at,UBR4,ubiquitin protein ligase E3 component n-recognin 4
211951_at,NOLC1,nucleolar and coiled-body phosphoprotein 1
211952_at,IPO5,importin 5
211953_s_at,IPO5,importin 5
211954_s_at,IPO5,importin 5
211955_at,IPO5,importin 5
211956_s_at,EIF1,eukaryotic translation initiation factor 1
211958_at,IGFBP5,insulin like growth factor binding protein 5
211959_at,IGFBP5,insulin like growth factor binding protein 5
211960_s_at,RAB7A,"RAB7A, member RAS oncogene family"
211961_s_at,RAB7A,"RAB7A, member RAS oncogene family"
211962_s_at,ZFP36L1,ZFP36 ring finger protein like 1
211963_s_at,ARPC5,actin related protein 2/3 complex subunit 5
211964_at,COL4A2,collagen type IV alpha 2 chain
211965_at,ZFP36L1,ZFP36 ring finger protein like 1
211966_at,COL4A2,collagen type IV alpha 2 chain
211967_at,TMEM123,transmembrane protein 123
211968_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1
211969_at,HSP90AA1,heat shock protein 90 alpha family class A member 1
211970_x_at,ACTG1,actin gamma 1
211971_s_at,LRPPRC,leucine rich pentatricopeptide repeat containing
211972_x_at,RPLP0,ribosomal protein lateral stalk subunit P0
211973_at,NUDT3,nudix hydrolase 3
211974_x_at,RBPJ,recombination signal binding protein for immunoglobulin kappa J region
211975_at,ARFGAP2,ADP ribosylation factor GTPase activating protein 2
211976_at,NUDT3,nudix hydrolase 3
211977_at,GPR107,G protein-coupled receptor 107
211978_x_at,PPIA,peptidylprolyl isomerase A
211979_at,GPR107,G protein-coupled receptor 107
211980_at,COL4A1,collagen type IV alpha 1 chain
211981_at,COL4A1,collagen type IV alpha 1 chain
211982_x_at,XPO6,exportin 6
211983_x_at,ACTG1,actin gamma 1
211984_at,CALM1,calmodulin 1
211984_at,CALM2,calmodulin 2
211985_s_at,CALM1,calmodulin 1
211985_s_at,CALM2,calmodulin 2
211986_at,AHNAK,AHNAK nucleoprotein
211987_at,TOP2B,DNA topoisomerase II beta
211988_at,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
211989_at,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
211990_at,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
211991_s_at,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
211992_at,WNK1,WNK lysine deficient protein kinase 1
211993_at,WNK1,WNK lysine deficient protein kinase 1
211994_at,WNK1,WNK lysine deficient protein kinase 1
211995_x_at,ACTG1,actin gamma 1
211996_s_at,NPIPB3,nuclear pore complex interacting protein family member B3
211996_s_at,NPIPB4,nuclear pore complex interacting protein family member B4
211996_s_at,NPIPB13,"nuclear pore complex interacting protein family, member B13"
211996_s_at,NPIPB11,nuclear pore complex interacting protein family member B11
211996_s_at,NPIPB5,nuclear pore complex interacting protein family member B5
211997_x_at,H3-3B,H3.3 histone B
211998_at,H3-3B,H3.3 histone B
211999_at,H3-3B,H3.3 histone B
212000_at,SUGP2,SURP and G-patch domain containing 2
212001_at,SUGP2,SURP and G-patch domain containing 2
212002_at,SZRD1,SUZ RNA binding domain containing 1
212003_at,SZRD1,SUZ RNA binding domain containing 1
212004_at,SZRD1,SUZ RNA binding domain containing 1
212005_at,SZRD1,SUZ RNA binding domain containing 1
212006_at,UBXN4,UBX domain protein 4
212007_at,UBXN4,UBX domain protein 4
212008_at,UBXN4,UBX domain protein 4
212009_s_at,STIP1,stress induced phosphoprotein 1
212010_s_at,CDV3,CDV3 homolog
212012_at,PXDN,peroxidasin
212013_at,PXDN,peroxidasin
212014_x_at,CD44,CD44 molecule (Indian blood group)
212015_x_at,PTBP1,polypyrimidine tract binding protein 1
212016_s_at,PTBP1,polypyrimidine tract binding protein 1
212017_at,FAM168B,family with sequence similarity 168 member B
212018_s_at,RSL1D1,ribosomal L1 domain containing 1
212019_at,RSL1D1,ribosomal L1 domain containing 1
212020_s_at,MKI67,marker of proliferation Ki-67
212021_s_at,MKI67,marker of proliferation Ki-67
212022_s_at,MKI67,marker of proliferation Ki-67
212023_s_at,MKI67,marker of proliferation Ki-67
212024_x_at,FLII,FLII actin remodeling protein
212025_s_at,FLII,FLII actin remodeling protein
212026_s_at,EXOC7,exocyst complex component 7
212027_at,RBM25,RNA binding motif protein 25
212028_at,RBM25,RNA binding motif protein 25
212029_s_at,PTOV1,PTOV1 extended AT-hook containing adaptor protein
212029_s_at,PTOV1-AS2,PTOV1 antisense RNA 2
212030_at,RBM25,RNA binding motif protein 25
212031_at,RBM25,RNA binding motif protein 25
212032_s_at,PTOV1,PTOV1 extended AT-hook containing adaptor protein
212033_at,RBM25,RNA binding motif protein 25
212034_s_at,EXOC7,exocyst complex component 7
212035_s_at,EXOC7,exocyst complex component 7
212036_s_at,PNN,"pinin, desmosome associated protein"
212037_at,PNN,"pinin, desmosome associated protein"
212038_s_at,VDAC1,voltage dependent anion channel 1
212039_x_at,RPL3,ribosomal protein L3
212040_at,TGOLN2,trans-golgi network protein 2
212041_at,ATP6V0D1,ATPase H+ transporting V0 subunit d1
212042_x_at,RPL7,ribosomal protein L7
212043_at,TGOLN2,trans-golgi network protein 2
212044_s_at,RPL27A,ribosomal protein L27a
212045_at,GLG1,golgi glycoprotein 1
212046_x_at,MAPK3,mitogen-activated protein kinase 3
212047_s_at,RNF167,ring finger protein 167
212048_s_at,YARS1,tyrosyl-tRNA synthetase 1
212049_at,WIPF2,WAS/WASL interacting protein family member 2
212050_at,WIPF2,WAS/WASL interacting protein family member 2
212051_at,WIPF2,WAS/WASL interacting protein family member 2
212052_s_at,TBC1D9B,TBC1 domain family member 9B
212053_at,PDXDC1,pyridoxal dependent decarboxylase domain containing 1
212054_x_at,TBC1D9B,TBC1 domain family member 9B
212055_at,TPGS2,tubulin polyglutamylase complex subunit 2
212056_at,GSE1,Gse1 coiled-coil protein
212057_at,GSE1,Gse1 coiled-coil protein
212058_at,U2SURP,U2 snRNP associated SURP domain containing
212059_s_at,TRPC4AP,transient receptor potential cation channel subfamily C member 4 associated protein
212060_at,U2SURP,U2 snRNP associated SURP domain containing
212061_at,U2SURP,U2 snRNP associated SURP domain containing
212062_at,ATP9A,ATPase phospholipid transporting 9A (putative)
212063_at,CD44,CD44 molecule (Indian blood group)
212064_x_at,MAZ,MYC associated zinc finger protein
212065_s_at,USP34,ubiquitin specific peptidase 34
212066_s_at,USP34,ubiquitin specific peptidase 34
212067_s_at,C1R,complement C1r
212068_s_at,PRRC2B,proline rich coiled-coil 2B
212069_s_at,PRRC2B,proline rich coiled-coil 2B
212070_at,ADGRG1,adhesion G protein-coupled receptor G1
212071_s_at,SPTBN1,"spectrin beta, non-erythrocytic 1"
212072_s_at,CSNK2A1,casein kinase 2 alpha 1
212073_at,CSNK2A1,casein kinase 2 alpha 1
212074_at,SUN1,Sad1 and UNC84 domain containing 1
212075_s_at,CSNK2A1,casein kinase 2 alpha 1
212076_at,KMT2A,lysine methyltransferase 2A
212077_at,CALD1,caldesmon 1
212078_s_at,KMT2A,lysine methyltransferase 2A
212079_s_at,KMT2A,lysine methyltransferase 2A
212080_at,KMT2A,lysine methyltransferase 2A
212081_x_at,PRRC2A,proline rich coiled-coil 2A
212082_s_at,MYL6,myosin light chain 6
212083_at,TEX261,testis expressed 261
212084_at,TEX261,testis expressed 261
212085_at,SLC25A6,solute carrier family 25 member 6
212086_x_at,LMNA,lamin A/C
212087_s_at,ERAL1,Era like 12S mitochondrial rRNA chaperone 1
212088_at,PMPCA,"peptidase, mitochondrial processing subunit alpha"
212089_at,LMNA,lamin A/C
212090_at,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1
212091_s_at,COL6A1,collagen type VI alpha 1 chain
212092_at,PEG10,paternally expressed 10
212093_s_at,MTUS1,microtubule associated scaffold protein 1
212094_at,PEG10,paternally expressed 10
212095_s_at,MTUS1,microtubule associated scaffold protein 1
212096_s_at,MTUS1,microtubule associated scaffold protein 1
212097_at,CAV1,caveolin 1
212098_at,MGAT5,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"
212099_at,RHOB,ras homolog family member B
212100_s_at,POLDIP3,DNA polymerase delta interacting protein 3
212101_at,KPNA6,karyopherin subunit alpha 6
212102_s_at,KPNA6,karyopherin subunit alpha 6
212103_at,KPNA6,karyopherin subunit alpha 6
212104_s_at,RBFOX2,RNA binding fox-1 homolog 2
212105_s_at,DHX9,DExH-box helicase 9
212106_at,FAF2,Fas associated factor family member 2
212107_s_at,DHX9,DExH-box helicase 9
212108_at,FAF2,Fas associated factor family member 2
212109_at,JPT2,Jupiter microtubule associated homolog 2
212110_at,SLC39A14,solute carrier family 39 member 14
212111_at,STX12,syntaxin 12
212112_s_at,STX12,syntaxin 12
212113_at,ATXN7L3B,ataxin 7 like 3B
212114_at,ATXN7L3B,ataxin 7 like 3B
212115_at,JPT2,Jupiter microtubule associated homolog 2
212116_at,TRIM27,tripartite motif containing 27
212117_at,RHOQ,ras homolog family member Q
212118_at,TRIM27,tripartite motif containing 27
212119_at,RHOQ,ras homolog family member Q
212120_at,RHOQ,ras homolog family member Q
212121_at,TCTN3,tectonic family member 3
212122_at,RHOQ,ras homolog family member Q
212123_at,TCTN3,tectonic family member 3
212124_at,ZMIZ1,zinc finger MIZ-type containing 1
212125_at,RANGAP1,Ran GTPase activating protein 1
212126_at,CBX5,chromobox 5
212127_at,RANGAP1,Ran GTPase activating protein 1
212128_s_at,DAG1,dystroglycan 1
